NAME,PER (orbital period) ,ECC ( e or g =ecentricity),A (semi major axis),MASS,R (radius of the planet),I (inclenation idk)
,s,,au,kg,au,deg
Kepler-107 d,687588.7392,,0.0780099,7.048619958E+024,4.5619291888929E-05,
Kepler-1049 b,282827.007936,0,0.0344721,4.657681983E+024,4.06209976069199E-05,
Kepler-813 b,1652786.499168,0,0.13761,3.032166939E+025,9.12777710931964E-05,
Kepler-427 b,889141.8816,0,0.091351,5.50623E+026,0.000587809730077,89.5
Kepler-1056 b,2375620.3584,0,0.185149,5.150432607E+025,0.000128553510074,
Kepler-1165 b,818944.3008,0,0.0912977,2.199511041E+025,6.59493843500582E-05,
Kepler-1104 b,435221.00496,0,0.0627651,1.1568456321E+025,5.25683498442493E-05,
WASP-14 b,193860.1728,0.091,0.0367693,1.4605445958E+028,0.000612182328641,84.32
Kepler-50 b,675001.07136,,0.0825598,3.131241105E+025,9.37131193732537E-05,
NN Ser d,225072000,0.05,3.70596,1.2201444927E+027,,
WASP-105 b,680216.832,0,0.0745473,3.340231014E+027,0.000468856634367,89.7
GJ 625 b,1263859.2,0.13,0.0783624,1.695444165E+025,,
Kepler-1279 b,2028448.23264,0,0.170989,2.449854636E+025,7.45514779609353E-05,
Kepler-1599 b,10572210.9792,0,0.48075,2.294028327E+025,6.92946429765104E-05,
Kepler-20 b,319344.93216,0,0.0453704,5.062807602E+025,8.13600350539446E-05,86.5
HAT-P-27 b,262619.4528,0,0.0399488,1.1724187695E+027,0.000487451971283,85
Kepler-181 b,271112.2272,,0.0419466,1.2803902437E+025,5.41463561277557E-05,
HD 116029 b,57888000,0,1.64869,3.62177025E+027,,
Kepler-207 b,139265.136,,0.0269045,2.227080165E+025,6.6936713538951E-05,
Kepler-1156 b,1027745.721504,0,0.101981,1.4703001164E+025,5.63915025601947E-05,
Kepler-1512 b,1759080.325536,0,0.13139,9.848955627E+024,5.01788793967834E-05,
Kepler-787 b,80206.0272,0,0.0161327,1.3075473498E+025,5.4479926202222E-05,
Kepler-528 b,1709248.96656,0,0.143629,2.938959756E+025,8.88883006457306E-05,
HD 219828 b,331214.39136,0,0.0515012,1.1813426595E+026,,
Kepler-480 b,425052.04032,0,0.0609811,4.433730318E+025,0.000118517734194,
Kepler-1567 b,13303835.5392,0,0.5527,4.311131259E+025,0.000116606157836,
HD 3167 b,82912.9824,0,0.0181491,3.01722417E+025,,83.4
Kepler-1390 b,559890.725472,0,0.0675681,9.848955627E+024,5.01788793967834E-05,
Kepler-1642 b,1054576.91232,0,0.0994208,5.786630016E+025,0.000136199815506,
Kepler-11 c,1125282.24,0.0256125,0.106909,1.7324441319E+025,0.000122252954398,89.59
Kepler-871 b,1904765.91552,0,0.159318,8.307211227E+025,0.000159616625891,
Kepler-1131 b,305192.835936,0,0.0458416,2.253130329E+025,6.78609607080309E-05,
Kepler-705 b,4843243.04832,0,0.231978,2.975775549E+025,8.98440888247169E-05,
HD 1237 b,11552544.864,0.511,0.494668,6.40773276E+027,,
WASP-21 b,373462.4448,0,0.0521087,5.701264464E+026,0.000511346675758,88.75
Kepler-284 c,3241248.9984,,0.219317,3.990915504E+025,0.000111277160844,
Kepler-186 c,627894.8928,0.03,0.0574114,1.2089117835E+025,5.32460036631506E-05,
HD 4308 b,1344384,0,0.119192,9.063938112E+025,,
Kepler-239 b,1016327.6064,,0.101225,3.377293638E+025,9.93393664888568E-05,
Kepler-651 b,1847682.581184,0,0.146649,3.447051876E+025,0.000100835652883,
Kepler-80 f,85258.401984,0,0.017386,1.1568456321E+025,5.25683498442493E-05,
Kepler-1217 b,175592.886048,0,0.0320163,2.797506606E+025,8.50651479297852E-05,
Kepler-895 b,242459.337312,0,0.0337283,2.186258115E+025,6.5471490260565E-05,
Kepler-628 b,1335576.09888,0,0.121444,4.621226943E+026,0.00035794267303,
Kepler-408 b,212977.728,,0.0366405,1.3284349485E+024,3.58917576972954E-05,
Kepler-174 b,1208026.656,,0.113583,2.74438098E+025,8.35640825946871E-05,
Kepler-440 b,8736025.824,0,0.353207,2.600174715E+025,7.9301267316408E-05,89.93
Kepler-403 d,1176041.487456,0,0,1.8821205516E+025,6.06925493656332E-05,
K2-6 b,2673613.44,,0.19095,4.049623308E+025,0.000112293641573,89.42
Kepler-224 d,980587.5552,,0.0988375,3.319136457E+025,9.80600440112836E-05,
Kepler-389 c,1253787.552,,0.116434,2.046893535E+025,6.2246660944665E-05,
