BD+20 594 b,BD+20 594,0,1,1,0,41.687072,0.241,1.1992179228113375,19.274050000000003,7.89,0.0,0,546.0,89.538
BD-06 1339 b,BD-06 1339,1,1,2,0,3.8728,0.0428,0,8.5,0,0.0,0,0,0
BD-08 2823 b,BD-08 2823,1,1,2,0,5.6,0.057999999999999996,0,13.5566,0,0.15,0,0,0
BD-11 4672 c,BD-11 4672,1,1,2,0,74.2,0.3,0,15.37,0,0.4,0,0,0
CoRoT-22 b,CoRoT-22,1,1,1,0,9.75598,0.092,2.459404223429596,12.2,0.249,0.077,0,885.0,89.749
CoRoT-24 b,CoRoT-24,1,1,2,0,5.1134,0.056,1.8647204453603834,5.7,0.9,0.0,0,1070.0,86.5
CoRoT-24 c,CoRoT-24,1,1,2,0,11.759,0.098,2.519627260480511,28.0,1.3,0.0,0,850.0,89.0
CoRoT-7 c,CoRoT-7,1,1,2,0,3.699,0.0455,0,10.98,0,0.06,0,0,80.0
DMPP-1 b,DMPP-1,1,1,4,0,18.57,0.1462,0,24.27,0,0.083,0,877.0,0
DMPP-1 c,DMPP-1,1,1,4,0,6.584,0.0733,0,9.6,0,0.057,0,1239.0,0
EPIC 211945201 b,EPIC 211945201,0,1,1,0,19.49380153125,0.14865,3.0648348953361473,27.0,0.65,0.0,0,851.5,88.6165
EPIC 212424622 b,EPIC 212424622,1,1,1,0,18.0977,0,1.1037207486907725,0,0,0,0,0,0
EPIC 212737443 b,EPIC 212737443,0,1,2,0,13.604326513333334,0.098,1.3033043117522682,0,0,0.2,0,536.0,89.071
EPIC 212737443 c,EPIC 212737443,1,1,2,0,65.55,0.28,1.355705778443915,0,0,0.2,0,316.0,89.63
EPIC 220674823 c,EPIC 220674823,0,1,2,0,13.339459125,0.10706666666666666,1.419327035882201,5.75,1.65,0.09,64.0,745.6666666666666,88.56199999999998
EPIC 249893012 c,EPIC 249893012,1,1,3,0,15.624,0.13,1.8495866231298344,14.67,1.62,0.07,160.0,990.0,87.94
EPIC 249893012 d,EPIC 249893012,1,1,3,0,35.747,0.22,1.9857018083844087,10.18,0.91,0.15,53.0,752.0,89.47
GJ 1214 b,GJ 1214,0,1,1,0,1.5804040384615385,0.01411,1.3272939456273904,6.41225,1.9920000000000002,0.04666666666666667,0,568.6666666666666,89.0181818181818
GJ 1265 b,GJ 1265,1,1,1,0,3.6511,0.026,0,7.4,0,0.04,0,0,0
GJ 143 b,GJ 143,0,1,2,0,35.60498366666667,0.19235000000000002,1.845929017715089,26.665,7.0,0.2565,4.12,409.0,89.33
GJ 15 A c,GJ 15 A,1,2,2,0,7600.0,5.4,0,36.0,0,0.27,0,0,0
GJ 160.2 b,GJ 160.2,1,1,1,0,5.2354,0.053,0,10.2,0,0.06,0,0,0
GJ 163 b,GJ 163,1,1,3,0,8.63182,0.0607,0,10.6,0,0.073,0,0,0
GJ 163 c,GJ 163,1,1,3,0,25.63058,0.1254,0,6.8,0,0.099,0,0,0
GJ 163 d,GJ 163,1,1,3,0,603.95116,1.0304,0,29.4,0,0.373,0,0,0
GJ 180 b,GJ 180,1,1,3,0,17.2565,0.0975,0,7.3950000000000005,0,0.09,0,0,0
